Brand,cluster,Listing Price,Sale Price,Discount,Rating,Reviews,Brand_Encoded
Adidas Adidas ORIGINALS,0,14999,7499,50,4.8,41,0
Adidas ORIGINALS,1,7599,3799,50,3.3,24,2
Adidas CORE / NEO,1,999,599,40,2.6,37,1
Adidas CORE / NEO,1,6999,3499,50,4.1,35,1
Adidas ORIGINALS,1,7999,3999,50,3.5,72,2
Adidas CORE / NEO,1,4799,1920,60,1.0,45,1
Adidas CORE / NEO,1,4799,2399,50,4.4,2,1
Adidas CORE / NEO,1,999,599,40,2.8,7,1
Adidas CORE / NEO,1,5599,2799,50,4.5,16,1
Adidas ORIGINALS,1,6599,3959,40,4.0,39,2
Adidas ORIGINALS,1,7599,4559,40,2.7,36,2
Adidas ORIGINALS,1,6599,3959,40,4.2,35,2
Adidas CORE / NEO,1,5999,2999,50,2.6,97,1
Adidas ORIGINALS,1,7599,4559,40,3.1,62,2
Adidas CORE / NEO,1,7999,3999,50,3.2,16,1
Adidas CORE / NEO,1,5999,2999,50,3.1,69,1
Adidas CORE / NEO,1,4599,2299,50,1.0,16,1
Adidas CORE / NEO,1,3999,1999,50,3.1,8,1
Adidas CORE / NEO,1,3299,1649,50,2.7,62,1
Adidas CORE / NEO,1,4299,2149,50,3.8,67,1
Adidas CORE / NEO,1,5599,2799,50,5.0,30,1
Adidas CORE / NEO,1,4299,2149,50,3.7,43,1
Adidas CORE / NEO,1,3799,2279,40,3.9,13,1
Adidas CORE / NEO,1,6599,3299,50,4.4,81,1
Adidas CORE / NEO,1,3799,1899,50,3.6,70,1
Adidas CORE / NEO,1,3299,1979,40,2.7,46,1
Adidas CORE / NEO,1,3799,2279,40,3.2,63,1
Adidas CORE / NEO,1,4299,2149,50,4.9,95,1
Adidas CORE / NEO,1,5599,3359,40,5.0,15,1
Adidas CORE / NEO,1,3299,1979,40,3.6,34,1
Adidas CORE / NEO,1,3299,1979,40,2.2,86,1
Adidas CORE / NEO,1,3299,1979,40,3.9,3,1
Adidas CORE / NEO,1,3299,1979,40,3.4,67,1
Adidas CORE / NEO,1,5599,3359,40,3.3,5,1
Adidas CORE / NEO,1,3999,2399,40,4.8,85,1
Adidas CORE / NEO,1,5599,3359,40,3.6,4,1
Adidas CORE / NEO,1,4599,2759,40,4.1,35,1
Adidas CORE / NEO,1,5599,3359,40,3.6,13,1
Adidas CORE / NEO,1,8599,5159,40,2.5,20,1
Adidas CORE / NEO,1,6599,3959,40,2.7,41,1
Adidas CORE / NEO,1,6599,3959,40,2.5,72,1
Adidas CORE / NEO,1,6599,3959,40,1.5,32,1
Adidas CORE / NEO,1,7599,4559,40,2.6,84,1
Adidas CORE / NEO,1,5599,3359,40,5.0,75,1
Adidas CORE / NEO,1,6999,4199,40,4.5,4,1
Adidas CORE / NEO,1,5599,3359,40,3.9,48,1
Adidas CORE / NEO,1,4999,2999,40,3.2,12,1
Adidas CORE / NEO,1,4999,2999,40,3.9,83,1
Adidas CORE / NEO,1,3299,1979,40,2.0,11,1
Adidas CORE / NEO,1,4999,2999,40,1.0,42,1
Adidas CORE / NEO,1,6999,4199,40,3.3,69,1
Adidas CORE / NEO,1,6599,3959,40,4.1,33,1
Adidas ORIGINALS,0,11999,7199,40,4.4,35,2
Adidas ORIGINALS,1,7999,4799,40,4.8,18,2
Adidas CORE / NEO,1,2699,1349,50,3.5,89,1
Adidas ORIGINALS,1,7999,4799,40,4.0,47,2
Adidas CORE / NEO,1,5599,3359,40,4.8,94,1
Adidas ORIGINALS,1,7999,4799,40,4.5,35,2
Adidas CORE / NEO,1,5599,3359,40,4.7,39,1
Adidas CORE / NEO,1,4999,2000,60,3.8,98,1
Adidas CORE / NEO,1,4299,2149,50,1.5,6,1
Adidas CORE / NEO,1,5999,2999,50,0.0,17,1
